Class Number, Campus, Class Name, Section Name, Instructor, Capacity, Enrolled, Available Seats, Wait List Capacity, Wait List Total
11994,North Campus,PSB 2442 - 0002   The Psychology Of Addiction,0002-LEC Conversion,Staff,45,0,45,0,0
11990,Wolfson Campus,PSB 2442 - 0003   The Psychology Of Addiction,0003-LEC Main Sess,Staff,45,24,21,0,0
6083,Homestead Campus,AVM 2441 - 0001   Aviation Safety & Human Factors,0001-LEC Main Sess,Staff,30,14,16,0,0
12754,Hialeah Campus,INR 2440 - 0001   International Law And Organization,0001-LEC Main Sess,Staff,30,8,22,0,0
12753,Hialeah Campus,INR 2440 - 0002   International Law And Organization,0002-LEC Main Sess,Staff,35,22,13,0,0
16745,Medical Campus,MLT 2440 - 0001   Clinical Microbiology 1,0001-LEC Conversion,Staff,30,25,5,0,0
10394,Medical Campus,MLT 2440L - 0002   Clinical Microbiology Lab 1,0002-LAB Conversion,Staff,16,15,1,0,0
11379,Wolfson Campus,HIM 2433 - 0001   Pathophysiology And Pharmacology,0001-LEC Main Sess,Staff,30,11,19,0,0
7187,Homestead Campus,AVM 2431 - 0001   Customer Service Agent,0001-LEC Main Sess,Staff,30,17,13,0,0
10773,Wolfson Campus,DAN 2431 - 0001   Laban Movement Analysis 2,0001-LEC Main Sess,Staff,30,13,17,0,0
10772,Wolfson Campus,DAN 2431 - 0002   Laban Movement Analysis 2,0002-LEC Main Sess,Staff,1,0,1,0,0
5972,North Campus,ASL 2430 - 0001   Manual Alphabet Skills Development,0001-LEC Main Sess,Staff,20,14,6,0,0
6408,Wolfson Campus,IND 2430 - 0001   Lighting Design,0001-LEC Conversion,Staff,30,0,30,0,0
11871,Wolfson Campus,SYG 2430 - 0001   Marriage And The Family,0001-LEC Main Sess,Staff,47,23,24,0,0
5419,North Campus,BSC 2427 - 0001   Biotechnology Methods And Applications 2,0001-LEC Main Sess,Staff,24,19,5,0,0
5418,Kendall Campus,BSC 2427 - 0002   Biotechnology Methods And Applications 2,0002-LEC Main Sess,Staff,24,0,24,0,0
